행정 구역,업소명,소재지,전화번호,관리구분
서울 서대문구,연일가스산업(주),서울 서대문구 북가좌1동 392-27,02-3075-4114,자동차충전
서울 서대문구,테스트업소,서울 서대문구 충정로 53유원골든타워오피스텔10층1002 (충정로2가) 139,02-750-1253,기타
서울 서초구,(주)에이치앤디이-서울만남의광장,서울 서초구 원지동 10-16,02-573-7430,자동차충전
서울 서초구,서초충전소,서울 서초구 방배동 623-5,02-582-3636,자동차충전
서울 서초구,수도석유(주)방배충전소,서울 서초구 방배동 443-1 (수도석유(주)방배충전소),02-582-4141,자동차충전
서울 서초구,(주)영동가스,서울 서초구 잠원동 55-6,02-534-2350,자동차충전
서울 성동구,대성산업(주)동부충전소,서울 성동구 성수동2가 284-108,02-463-2202,자동차충전
서울 성동구,서울숲충전소,서울 성동구 성수동1가 656-1119,02-463-5616,자동차충전
서울 성북구,우일에너지(주),서울 성북구 하월곡1동 88-681,02-913-8722,자동차충전
서울 성북구,(주)장위가스,서울 성북구 장위3동 44-3,02-916-3233,자동차충전
서울 송파구,잠실복지충전소,서울 송파구 잠실동 336-9,02-415-3311,자동차충전
서울 송파구,오금가스충전소,서울 송파구 오금동 31-4,02-402-5151,자동차충전
서울 송파구,홍익에너지(주),서울 송파구 석촌동 183-1,02-412-5151,자동차충전
서울 송파구,MG새마을금고 송파충전소,서울 송파구 장지동 544-3,02-449-9123,자동차충전
서울 양천구,복지신정충전소,서울 양천구 신정동 162-15외 5필지,02-2645-4600,자동차충전
서울 양천구,수도에너지(주),서울 양천구 신정동 813-17,02-2060-7160,자동차충전
서울 양천구,(주)대흥가스,서울 양천구 신월1동 131-7,02-2693-0535,자동차충전
서울 양천구,비케이서비스산업(주),서울 양천구 신월동 53-1 LPG충전소,02-2692-9909,자동차충전
서울 양천구,(주)남양가스,서울 양천구 신월7동 998-4,02-2603-2345,자동차충전
서울 양천구,목동충전소,서울 양천구 신정4동 994-4,02-2604-6141,자동차충전
서울 영등포구,(주)세지,서울 영등포구 문래동6가 1-3,02-2677-9775,자동차충전
서울 영등포구,기린에너지,서울 영등포구 양평동4가 158 (기린충전소),02-2068-7800,자동차충전
서울 영등포구,양평동충전소,서울 영등포구 양평동3가 59,02-2672-1175,자동차충전
서울 은평구,신흥에너지산업(주),서울 은평구 증산동 223-9,02-373-0051,자동차충전
서울 은평구,(주)삼표에너지 수색충전소,서울 은평구 증산동 223-5 (삼표에너지),02-372-7113,자동차충전
서울 은평구,은평서부충전소,서울 은평구 진관동 35 (은평서부충전소 제1동),02-352-4806,자동차충전
서울 중랑구,신내LPG충전소,서울 중랑구 신내동 317-7,02-2208-5151,자동차충전
서울 중랑구,(주)풍림에너지,서울 중랑구 면목5동 169-6,02-434-0557,자동차충전
서울 중랑구,동일석유(주)황금충전소,서울 중랑구 중화2동 208-11,02-435-2627,자동차충전
서울 중랑구,망우충전소,서울 중랑구 망우1동 340-16,02-432-5400,자동차충전
부산 강서구,신명지에너지,부산 강서구 명지동 1498-2번지,051-271-2464,자동차충전
부산 강서구,르노삼성자동차(주),부산 강서구 신호동 185번지(안전팀),051-979-9085,자동차충전
부산 강서구,가락충전소,부산 강서구 죽동동 122-1,051-971-3430,자동차충전
부산 강서구,(주)삼성에너지대저충전소,부산 강서구 대저1동 2787-2,051-941-9808,자동차충전
부산 강서구,개인택시신공항충전소,부산 강서구 대저1동 3036-1,051-941-3485,자동차충전
부산 강서구,부산공항LPG충전소,"부산 강서구 대저2동 4427,4428",051-973-4036,자동차충전
부산 강서구,죽림LPG충전소,부산 강서구 죽림동 497-1,051-941-2020,자동차충전
부산 강서구,(주)지원네트웍스 부산강서LPG충전소,부산 강서구 대저1동 2040,051-972-0245,자동차충전
부산 강서구,신항만에너지,부산 강서구 녹산동 604-7번지,051-973-7625,자동차충전
부산 금정구,신한가스(주),부산 금정구 금사동 13-17번지,051-521-0300,자동차충전
부산 금정구,(주)신진가스,부산 금정구 금사동 106-18번지,051-523-7948,자동차충전
부산 금정구,(주)해연,부산 금정구 회동동 164 -6,051-528-1133,용기+탱크+13kg용기
부산 기장군,정림에너지,부산 기장군 정관읍 예림리 384-2번지,051-727-7867,자동차충전
부산 기장군,(주)장안가스충전소주유소,부산 기장군 장안읍 용소리 244-5번지,051-728-8686,자동차충전
부산 기장군,KH에너지(주)직영장안충전소(부산방향),"부산 기장군 장안읍 장안리 산31-1, 산33-1",051-728-5157,자동차충전
부산 기장군,KH에너지(주)직영장안충전소(울산방향),부산 기장군 장안읍 명례리 산78-1,051-728-5157,자동차충전
부산 기장군,월드컵충전소,부산 기장군 일광면 원리 68-3번지외 4필지,051-727-9990,자동차+13kg용기
부산 기장군,아시아드충전소,"부산 기장군 일광면 화전리 90-7, 90-1번지",051-722-8701,자동차충전
부산 기장군,이원기장오렌지충전소,부산 기장군 기장읍 만화리 331-1번지,051-722-9489,자동차충전
부산 기장군,개인택시동부산충전소,부산 기장군 철마면 고촌리 508-1번지,051-723-2090,자동차충전
부산 기장군,선암가스충전소,부산 기장군 장안읍 좌동리 270-6번지,051-727-1212,자동차+13kg용기
부산 기장군,한국에너지산업(주),부산 기장군 기장읍 청강리 705-8번지,051-722-5152,용기+자동차+탱크+13kg용기
부산 기장군,광신개발(주)직영 정관가스충전소,"부산 기장군 정관읍 예림리 329-4,330,331",051-728-6228,자동차+13kg용기
부산 기장군,동양가스산업(주),부산 기장군 기장읍 청강리 12-1번지,051-721-6838,자동차충전
부산 기장군,마라톤가스(주)청강충전소,"부산 기장군 기장읍 청강리 538-1,537-5",051-724-5672,자동차충전
부산 기장군,(주)금륜에너지 삼성가스충전소,부산 기장군 일광면 삼성리 512-9,051-722-5170,자동차충전
부산 기장군,곰내터널충전소,부산 기장군 정관읍 매학리 122-1외 2필지,051-728-2311,자동차충전
부산 남구,광진기업(주)대연영업소,부산 남구 대연동 1751-5,051-627-3133,자동차충전
부산 동구,개인택시 중앙LPG충전소,부산 동구 초량3동 1151-7,051-463-4181,자동차충전
부산 동구,문화가스충전소,부산 동구 초량동 1149-3,051-463-5111,자동차충전
부산 동구,마라톤가스(주)초량충전소,부산 동구 초량3동 1157-10,051-463-5921,자동차충전
부산 동구,개인택시남부LPG충전소,"부산 동구 좌천동 68-877,68-876번지",051-634-6500,자동차충전
부산 동구,한국가스산업(주),부산 동구 범일동 830-120,051-635-3300,용기+자동차+13kg용기
부산 동래구,(주)삼성에너지,부산 동래구 수안동 80-5번지,051-555-3100,용기+자동차+13kg용기
부산 북구,한국가스산업(주)구포충전소,부산 북구 구포동 1119-4,051-304-6051,자동차충전
부산 북구,비케이에너지(주)동양가스충전소,부산 북구 덕천동 547번지,051-333-0036,용기+자동차+13kg용기
부산 북구,(주)삼보,부산 북구 만덕동 산19-5,051-336-2000,자동차충전
부산 북구,개인택시 금곡역충전소,부산 북구 금곡동 516-1번지,051-365-4665,자동차충전
부산 사상구,(주)성은에너지제2충전소,부산 사상구 엄궁동 651-3 외 3필지,051-313-4028,자동차충전
부산 사상구,대성산업(주)부산대성충전소,부산 사상구 덕포2동 394-4,051-303-4747,용기+자동차+13kg용기
부산 사상구,(사)부산광역시 개인택시운송사업조합 사상LPG충전소,"부산 사상구 학장동 629-1,2번지",051-327-9446,자동차충전
부산 사상구,MS에너지(주)학장충전소,부산 사상구 학장동 264-5,051-315-7174,자동차충전
부산 사상구,광신가스(주),부산 사상구 감전동 500-1,051-311-0131,용기+자동차+13kg용기
부산 사상구,팔성가스충전소,부산 사상구 감전동 163-13,051-314-3555,자동차+13kg용기
부산 사상구,한국가스산업(주)사상영업소,부산 사상구 감전동 158-13,051-326-3131,용기+자동차+13kg용기
부산 사상구,(주)덕양에너지 직영 구덕산충전소,부산 사상구 학장동 194-18번지,051-312-0085,자동차충전
부산 사상구,(주)MS가스,부산 사상구 학장동 276-22,051-325-5501,용기+13kg용기
부산 사상구,극동유화(주)주례충전소,부산 사상구 주례동 691-28번지,051-322-4779,자동차+13kg용기
부산 사상구,광신디엔에이(주)서부충전소,부산 사상구 삼락동 361-2,051-305-7948,자동차충전
부산 사상구,극동유화(주)감전충전소,부산 사상구 감전동 507-13번지,051-320-8500,용기+자동차+탱크+13kg용기
부산 사하구,마라톤가스(주),부산 사하구 장림동 100-1외 2번지,051-263-2288,자동차충전
부산 사하구,개인택시사하엘피지충전소,부산 사하구 신평동 536-3~5번지,051-204-8630,자동차충전
부산 사하구,부산엘피지충전소,부산 사하구 장림동 1112번지,051-264-9752,자동차충전
부산 사하구,(주)신성에너지은광가스충전소,부산 사하구 감천동 805-9,051-206-3326,용기+자동차+13kg용기
부산 사하구,광신가스(주)대신충전소,부산 사하구 신평1동 370-53,051-205-8800,자동차충전
부산 사하구,(주)신광에너지 장림충전소,부산 사하구 장림동 177-10,051-263-7742,자동차충전
부산 사하구,광진기업(주)장림영업소,부산 사하구 장림2동 370-7,051-263-3131,용기+자동차+13kg용기
부산 서구,(주)신광에너지,부산 서구 남부민동 692번지,051-248-7365,용기+자동차+13kg용기
부산 수영구,(주)수영에너지산업,부산 수영구 수영동 516,051-751-3436,자동차충전
부산 연제구,부산개인택시엘피지충전소,부산 연제구 거제동 1368,051-507-8983,자동차충전
부산 연제구,마라톤가스(주)새동래충전소,부산 연제구 거제동 152-9,051-501-7635,자동차충전
부산 영도구,개인택시 영도LPG충전소,부산 영도구 동삼동 254-19,051-403-8987,자동차충전
부산 영도구,부산에너지,부산 영도구 청학동 1-46,051-403-5752,용기+자동차+탱크+13kg용기
부산 영도구,(주)태종에너지 영도충전소,부산 영도구 영선동4가 7-1,051-415-1837,자동차충전
부산 해운대구,이원 해운대LPG충전소,부산 해운대구 송정동 79-1,051-704-9196,용기+자동차+탱크+13kg용기
대구 남구,(주)경북가스남부충전소,대구 남구 대명10동 1226-43,053-624-4834,자동차충전
대구 달서구,SK가스세영충전소,대구 달서구 갈산동 100-63,053-581-6145,용기+탱크+13kg용기
대구 달서구,남대구IC충전소,대구 달서구 장동 55-3외,053-592-8600,자동차+13kg용기
대구 달서구,대성산업(주)구마충전소,대구 달서구 본리동 657-1,053-521-9537,자동차충전
대구 달서구,(주)한성엘피지,대구 달서구 월성동 890,053-593-3111,자동차충전
대구 달서구,대천에너지,"대구 달서구 대천동 759-21,759-15",053-581-5050,자동차충전
대구 달서구,대구LPG충전소,대구 달서구 상인동 1384,053-632-3381,용기+자동차+13kg용기
대구 달서구,대구개인택시운송사업조합제2충전소,대구 달서구 감삼동 467-4,053-559-0102,자동차충전
대구 달서구,SK대구가스충전소,대구 달서구 성당1동 126-3,053-656-8017,자동차충전
대구 달서구,대기에너지(주),"대구 달서구 감삼동 64-2,3,4",053-553-8800,자동차충전
대구 달서구,계명LPG충전소,대구 달서구 이곡동 1000-261,053-584-5311,자동차충전
대구 달서구,구상엘피지충전소,"대구 달서구 월암동 1107-2,3",053-581-7700,자동차충전
대구 달성군,현풍(하)LPG충전소 풀무원식품(주),대구 달성군 현풍면 성하리 275,053-614-2437,자동차충전
대구 달성군,그린에너지프라자,대구 달성군 논공읍 삼리리 31-6,053-616-8008,자동차충전
대구 달성군,한국도로공사 현풍LPG충전소(대구방향),대구 달성군 현풍면 성하리 725-19,053-614-2508,자동차충전
대구 달성군,홍토가스충전소,대구 달성군 논공읍 남리 116-1,053-616-3800,자동차충전
대구 달성군,(주)한성엘피지옥포충전소,대구 달성군 옥포면 기세리 969-58번지,053-617-8010,자동차충전
대구 달성군,봄봄봄LPG충전소,대구 달성군 구지면 내리 845-11,053-615-5188,자동차충전
대구 달성군,문산엘피지충전소,대구 달성군 다사읍 문산리 40-5번지,053-584-7089,자동차충전
대구 달성군,달성엘피지충전소,대구 달성군 현풍면 성하리 100,053-616-0777,자동차충전
대구 달성군,가창엘피지충전소,대구 달성군 가창면 용계리 444,053-768-1990,자동차충전
대구 달성군,가람충전소,"대구 달성군 현풍면 성하리 164-6, 165",053-616-5183,자동차충전
대구 달성군,논공(대구방향)충전소,대구 달성군 논공읍 삼리리 462-1,053-4304-0630,자동차충전
대구 달성군,논공(광주방향)충전소,대구 달성군 논공읍 삼리리 460,053-4304-0610,자동차충전
대구 동구,신대한LPG제1,대구 동구 신천3동 45-7,053-752-8411,자동차충전
대구 동구,(주)경북가스,대구 동구 효목동 291-4,053-751-7777,용기+자동차+13kg용기
대구 동구,아주에너지(주)아주LPG충전소,대구 동구 불로동 955-21,053-985-9851,자동차충전
대구 동구,팔공산엘피지충전소,대구 동구 덕곡동 205-4번지,053-986-8030,자동차충전
대구 동구,동도엘피지충전소,대구 동구 용계동 763-12,053-962-1212,자동차충전
대구 동구,케이케이(주)달구벌충전소,대구 동구 방촌동 919-7,053-983-6051,자동차충전
대구 동구,동원LPG충전소,대구 동구 괴전동 648,053-963-6000,자동차충전
대구 동구,율하LPG충전소,대구 동구 용계동 668,053-956-3700,자동차충전
대구 북구,대성산업(주)남경대성LPG충전소,"대구 북구 금호동 219,220-9",053-311-0311,자동차충전
대구 북구,대구개인택시조합충전소,대구 북구 검단동 산 8-3 (A동),053-382-6300,자동차충전
대구 북구,대성산업(주)대구가스부,대구 북구 칠성동2가 66,053-358-6124,용기+자동차+13kg용기
대구 북구,대구개인택시운송사업조합제4충전소,대구 북구 읍내동 378,053-321-0095,자동차충전
대구 북구,대구개인택시운송조합 제5충전소,대구 북구 노원동3가 636,053-327-7710,자동차충전
대구 북구,(주)팔달에너지,"대구 북구 매천동 269-11,269-14,269-15",053-314-4001,자동차충전
대구 북구,서변엘피지충전소,대구 북구 서변동 1290-57,053-939-1991,자동차충전
대구 북구,북대구LPG충전소,대구 북구 산격동 758-13,053-384-5177,자동차충전
대구 북구,(주)한신가스,대구 북구 침산1동 842,053-341-0041,용기+자동차+탱크+13kg용기
대구 북구,(주)대평제2LPG충전소,"대구 북구 복현동 400-1,2,6번지",053-953-9000,자동차충전
대구 북구,경원LPG충전소,대구 북구 금호동 451-1,053-312-2552,자동차+탱크
대구 북구,(주)칠곡아이씨충전소,대구 북구 태전동 135-3,053-327-2277,용기+자동차+탱크+13kg용기+부탄
대구 서구,신대한LPG,대구 서구 평리동 1403-1,053-566-2609,자동차충전
대구 서구,화성가스(주),"대구 서구 중리동 1120-1,22,785",053-565-0223,용기+자동차+탱크+13kg용기
대구 서구,청구엘피지충전소,대구 서구 중리동 292-28,053-552-1123,자동차충전
대구 서구,경북산소(주),대구 서구 이현동 42-91,053-562-1614,용기충전
대구 서구,서대구IC충전소,대구 서구 이현동 42-420,053-566-0009,자동차충전
대구 서구,대구개인택시운송사업조합 제6충전소,대구 서구 이현동 45-191,053-554-9192,자동차충전
대구 수성구,상동엘피지충전소,"대구 수성구 상동 675-11,675-12번지",053-764-5050,자동차충전
대구 수성구,대공원충전소(주),대구 수성구 범어1동 775-64,053-763-6022,자동차충전
대구 수성구,대구개인택시운송사업조합제1충전소,대구 수성구 중동 7-1번지외,053-763-0153,자동차충전
대구 수성구,(주)동일가스,대구 수성구 중동 551-8,053-762-8855,자동차충전
대구 수성구,(주)동산가스충전소,대구 수성구 황금동 546,053-763-8877,자동차충전
대구 수성구,동대구가스충전소,대구 수성구 만촌1동 416-8,053-755-0401,자동차충전
인천 강화군,(주)일영 강화LPG충전소,인천 강화군 강화읍 갑곳리 343-5,032-932-2270,자동차충전
인천 강화군,강화에너지,"인천 강화군 강화읍 남산리 262,248-1",032-933-0950,자동차충전
인천 계양구,서운가스충전소,"인천 계양구 서운동 149-6,7,8,170",032-544-1707,자동차충전
인천 계양구,협진충전소,인천 계양구 작전동 429-9,032-545-3225,자동차충전
인천 계양구,장기충전소,인천 계양구 장기동 104-1,032-521-0336,자동차충전
인천 계양구,계양에너지,"인천 계양구 동양동 53-2,53-7",032-553-7260,자동차충전
인천 계양구,서일산업(주)갈현가스,인천 계양구 갈현동 67-3,032-508-1943,자동차충전
인천 남동구,(주)가스코,"인천 남동구 간석동 238-1,2",032-422-0066,자동차충전
인천 남동구,(자)한성가스,인천 남동구 간석4동 617-8,032-422-1277,자동차충전
인천 남동구,스마일충전소,인천 남동구 염전로 403,032-873-8069,자동차충전
인천 남동구,(주)남동가스충전소,인천 남동구 구월동 826-2,032-467-0038,자동차충전
인천 남동구,대공원충전소,"인천 남동구 서창동 2,4,5",032-465-0323,자동차충전
인천 남동구,논현충전소,인천 남동구 고잔동 246-15 외 2필지,032-446-9094,자동차충전
인천 남동구,장수충전소,"인천 남동구 장수동 488-3,9,489",032-472-1876,자동차충전
인천 동구,인천개인택시 복지제1충전소,인천 동구 송림동 297-14,032-578-4213,자동차충전
인천 동구,한일가스산업(주) 송현충전소,"인천 동구 송현동 1-775(잡), 1-849(잡)",032-761-5411,자동차충전
인천 미추홀구,(주)청양엘피지 신기촌충전소,인천 미추홀구 주안7동 1462-7,032-867-8181,자동차충전
인천 미추홀구,주안역엘피지충전소,인천 미추홀구 주안1동 239-1,032-873-8284,자동차충전
인천 미추홀구,송강충전소,인천 미추홀구 용현4동 287-1,032-866-8935,자동차충전
인천 미추홀구,인천LPG충전소,인천 미추홀구 학익동 401-66,032-865-0082,용기+13kg용기
인천 미추홀구,도화LPG충전소,인천 미추홀구 도화동 424-1,032-867-5600,자동차충전
인천 미추홀구,도화충전소,인천 미추홀구 도화동 624-6,032-875-1182,자동차충전
인천 미추홀구,(주)성림가스충전소,인천 미추홀구 주안5동 35-1 외 1필지,032-422-3301,용기+자동차+13kg용기
인천 미추홀구,(주)그린가스충전소,"인천 미추홀구 용현동 627-540, 631",032-883-8822,자동차충전
인천 부평구,수도석유(주)십정충전소,"인천 부평구 십정동 557-1,4,5,19,20,24",032-575-5180,자동차충전
인천 부평구,(주)대지가스삼산충전소,인천 부평구 삼산동 106-43,032-529-5800,자동차충전
인천 부평구,청천LPG충전소,인천 부평구 청천동 67-30,032-502-9966,자동차충전
인천 부평구,지에스부평충전소,인천 부평구 청천동 400-6,032-511-6583,자동차충전
인천 부평구,(주)태보에너지,인천 부평구 일신동 3-4,032-502-1171,자동차충전
인천 부평구,일신충전소,인천 부평구 일신동 79-38,032-507-7861,자동차충전
인천 부평구,한국지엠(주),인천 부평구 청천동 199-1,032-520-2537,자동차충전
인천 부평구,부평충전소,인천 부평구 청천동 396-14,032-502-2580,자동차충전
인천 부평구,부평LPG충전소,인천 부평구 갈산동 185-10번지외3필지,032-507-8548,자동차충전
인천 부평구,주식회사토우,인천 부평구 갈산동 421-1,032-529-5145,용기+자동차+탱크+13kg용기
인천 부평구,개인택시복지제2충전소,인천 부평구 청천동 391-10,032-516-5801,자동차충전
인천 부평구,다원에프엔씨(주)송내가스,인천 부평구 구산동 12-5,032-518-6001,용기+자동차+13kg용기
인천 부평구,부평IC충전소,인천 부평구 청천동 437-1,032-506-8880,자동차충전
인천 부평구,구산충전소,인천 부평구 구산동 3-1,032-527-9898,자동차충전
인천 서구,천일충전소,"인천 서구 백석동 210,210-8,16,209-8",032-569-5191,자동차충전
인천 서구,청라충전소,"인천 서구 가좌동 602-24,44",032-467-5145,자동차충전
인천 서구,우리에너지,인천 서구 금곡동 237-3,032-566-4655,자동차충전
인천 서구,점보충전소,"인천 서구 가좌동 287-7,8,9",032-575-8181,자동차충전
인천 서구,경일석유(주)백범가좌충전소,"인천 서구 가좌동 484-1,14,17",032-582-5188,자동차충전
인천 서구,(주)지가스,인천 서구 왕길동 209-1 LPG충전소,032-569-7085,자동차충전
인천 서구,태능가스(주)대지충전소,인천 서구 방축로 345,032-583-3322,자동차충전
인천 서구,(주)이은에너지,"인천 서구 가좌동 178-12,178-124",032-572-2972,자동차충전
인천 서구,서울가스(주),"인천 서구 가좌동 158-5,6",032-575-5331,용기+자동차+13kg용기
인천 서구,(주)그린에너지 대화충전소,인천 서구 왕길동 111,032-567-2263,자동차충전
인천 서구,서인천LPG충전소,인천 서구 경명대로 442 (경서동),032-568-1547,자동차충전
인천 서구,(주)이대일나누리충전소,인천 서구 가좌동 173-328,032-584-0888,자동차충전
인천 서구,태양엘피지(주),인천 서구 가좌동 173-117,032-573-2222,자동차충전
인천 서구,불로충전소,인천 서구 불로동 21-16,032-564-4896,자동차충전
인천 서구,지엠테크니컬센터코리아(주),인천 서구 원창동 401-8,032-590-6024,자동차충전
인천 서구,금곡가스프라자,"인천 서구 금곡동 161,162-3",032-562-8010,자동차+13kg용기
인천 서구,극동유화(주) 한일충전소,인천 서구 가좌동 574-21,032-576-2131,용기+탱크+13kg용기
인천 서구,(주)엘피지뱅크,인천 서구 석남동 222-3,032-571-1851,용기충전
인천 서구,경서충전소,"인천 서구 경서동 350-11,12,113",032-568-2022,자동차+13kg용기
인천 서구,청라에너지,인천 서구 연희동 621-16,032-562-7728,자동차충전
인천 연수구,(주)E1 인천기지,인천 연수구 송도동 382,032-810-2133,탱크로리
인천 연수구,위드엘피지(주),인천 연수구 동춘동 916,032-858-7888,자동차충전
인천 연수구,인천터미널충전소,인천 연수구 선학동 8-1,032-421-0362,자동차충전
인천 옹진군,동서가스충전소,인천 옹진군 백령면 진촌리 1255-14,032-508-1940,용기+자동차+탱크
인천 중구,서일산업(주)강원가스,인천 중구 항동7가 70-4,032-883-0289,용기+자동차+13kg용기
인천 중구,(주)계동에너지인천공항점,인천 중구 공항동로465번길 10,032-743-4190,자동차충전
인천 중구,(주)성림가스 인천충전소,인천 중구 항동7가 50,032-885-4961,용기+자동차+13kg용기
인천 중구,S-Oil(주)인천저유소,인천 중구 연안부두로 125-1,032-880-5851,탱크로리
광주 광산구,(주)제일에너지,광주 광산구 신가동 594-5,062-954-7227,자동차충전
광주 광산구,부경LPG충전소,광주 광산구 장록동 534-1번지외2필지,062-943-5664,자동차충전
광주 광산구,더드론(주)수완충전소,광주 광산구 수완동 144번지외5필지,062-961-3579,자동차충전
광주 광산구,(주)반디이원 첨단점,광주 광산구 산월동 853-1 외 8필지,062-523-8301,자동차충전
광주 광산구,(유)남동진충전소,광주 광산구 우산동 626외3필지,062-952-2382,자동차충전
광주 광산구,(주)영진에너지,광주 광산구 우산동 179-9,062-941-0061,자동차충전
광주 광산구,동일가스,광주 광산구 월전동 139-4,062-942-5180,자동차충전
광주 광산구,대성가스(주)지평선LPG충전소,광주 광산구 지평동 395-3외4필지,062-575-9999,자동차충전
광주 광산구,(주)금정,광주 광산구 신창동 1083-10,062-955-7501,자동차충전
광주 광산구,(주)진솔가스,광주 광산구 오운동 512-12,062-943-0630,자동차충전
광주 광산구,(주)만남의광장,광주 광산구 소촌동 756-16,062-941-0306,자동차충전
광주 광산구,(주)제일에너지 동곡점,광주 광산구 하산동 149-1번지외2필지,062-943-1600,자동차충전
광주 광산구,빛고을LPG충전소,광주 광산구 신가동 200-15번지외 3필지,062-959-7722,자동차충전
광주 광산구,(주)반디이원,"광주 광산구 신가동 594-12,594-13",062-961-8301,자동차충전
광주 광산구,한일LPG충전소,광주 광산구 신창동 1079-20,062-955-6838,자동차충전
광주 광산구,한일에너지(유),광주 광산구 수완동 215-22,062-954-1724,자동차충전
광주 광산구,광주엘피지충전소,광주 광산구 하산동 150-1,062-945-7777,자동차충전
